post,class,implicit_class,target,implied_statement
"  "" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr "" "" """,implicit_hate,white_grievance,Jews,Jews are oppressors
is white nationalism an #adl honey pot front ?,implicit_hate,white_grievance,Jews,Jews are devious
" jews r an ancient tribe . they do not identify as  "" white "" "" . they actually hate white people ! """,implicit_hate,white_grievance,Jews,Jews hate white people.
another ( ( ( rabbi ) ) ) celebrates the destruction of the white race.it is time to wake up ! #whitegenocide,implicit_hate,white_grievance,Jews,Jews want the white race to perish
so is the white hating  jew hating cult  the nation of islam . what's your point ?,implicit_hate,white_grievance,Jews,Jews are racist.
: zuckerberg's dream : the jewish ruled anti-white racist social network .,implicit_hate,white_grievance,Jews,Jews are racist.
license to kill .. the white race #whitegenocide #thanksjews,implicit_hate,white_grievance,Jews,Jews want to kill white people.
mass non-white immigration & forced assimilation for white nations is the main priority for world jewry since wwii . #whitegenocide,implicit_hate,white_grievance,Jews,Jews are trying to destroy the white race
u realize all cultures captured n made slaves  that jew / arabs sold them n that white peopl,implicit_hate,white_grievance,Jews and Arabs,Jews and Arabs were slavers
as long as white men allow jews into their midst and to lead them  they will continue to fail their race .,implicit_hate,white_grievance,Jews,Jews are not as good as white people.
if it is so sad why you jews want it for pple of white race ?,implicit_hate,white_grievance,Jews,Jews are conspiring
jews flood white lands with nonwhites while openly calling for white genocide . they even try and silence people who speak out against it .,implicit_hate,white_grievance,Jews,Jews are hateful.
white people are the only people hate crime laws are suppose to apply to . any hate crime committed by any other race likely had jewish victims . only way for them to make the list .,implicit_hate,white_grievance,Jews,Jews control the world
you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !,implicit_hate,white_grievance,Jews,Jews hate white people.
i am already national socialist and we need to rebuild our movement against zionism in the world .. to free the white race !,implicit_hate,white_grievance,Jews,Jews are inferior
they are not the future . ( ( ( paul krugman ) ) ) gloats over demise of white america,implicit_hate,white_grievance,Jews,Jews want the white race to fall
israel spies on america to make the first move against the white race via,implicit_hate,white_grievance,Jews,Jews are looking to destroy the white race.
jews should pay reparations to whites for white genocide and holodomor,implicit_hate,white_grievance,Jews,Jews owe white people.
tanstaafl joins me to discuss the jewish agenda to genocide the white race  the #altright  trump  and more !,implicit_hate,white_grievance,Jews,Jews promote the destruction of whites
white genocide escalates in south africa  international jew-controlled media remains in silence : via,implicit_hate,white_grievance,Jews,Jews run the media
"  "" : jews outraged over diversity is white genocide banner in australia | more : "" "" ; """,implicit_hate,white_grievance,Jews,Jews hate white people.
" are jewish groups going to demand massive non-jewish immigration into israel ? or is  "" diversity "" "" only for the west ? """,implicit_hate,white_grievance,Jews,Jews don't like non-Jewish immigrants.
" how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel #racism """,implicit_hate,white_grievance,Jews,Jews hate white people
anti-white jew david sirota blocked me when i asked him why israel wasn't taking in any refugees lol,implicit_hate,white_grievance,Jews,Jews deplore whites.
by not taking a bold and open stand for white america we ensure ourselves the chains the jews make 4 us !,implicit_hate,white_grievance,Jews,Jews hate white people
jews and mudslims united against white civilization,implicit_hate,white_grievance,Jews,Jews don't like white people.
jews rejoicing at the prospect of the end of the white race,implicit_hate,white_grievance,Jews,Jews hate white people.
jews say whites should love their own demise . for whites to love white life is to hate their own demise . that is hate,implicit_hate,white_grievance,Jews,Jews don't like white people.
: south africa white genocide escalates  international jew-controlled media remains in silence,implicit_hate,white_grievance,Jews,Jews are insensitive towards white people
beneath the mask of the human rights industry is the final solution of the white race .,implicit_hate,white_grievance,Jews,Jews are inferior
i have a shocker for you  there are no white supremacists  but there are white ( ( ( supremacists ) ) ),implicit_hate,white_grievance,Jews,Jews are lying tricksters creating false narratives of threatening white supremacy.
best decision a jew could make to further the cause of white aryan genocide.make him take a lie detector test,implicit_hate,white_grievance,Jews,Jews are liars.
fight white genocide ! #whitegenocide #jewishsupremacy,implicit_hate,white_grievance,Jews,Jews are anti-white
former cop and author james lancia & i discuss his book  political correctness  jewish supremacy & #whitegenocide,implicit_hate,white_grievance,Jews,Jews want to eliminate white people
jews have their own ethnostate yet dehumazice any white gentile who wants the same . hypocrites .,implicit_hate,white_grievance,Jews,Jews don't like white people.
jews have aipac  splc and the adl . why is it white europeans can't have the alt-right ?,implicit_hate,white_grievance,Jews,Jews are devious
. jews founded the frankfurt school . which created cultural marxism  the anti-white ideology,implicit_hate,white_grievance,Jews,Jews don't like white people.
alt-right is anti-zionism ( jews ) and white genocide,implicit_hate,white_grievance,Jews,Jews are an inferior race.
fuggedaboutit  its over . we lost . th jews won . the rising tide of color against white world-supremacy * * *,implicit_hate,white_grievance,Jews,Jews are anti-white
