	block0	membership_answer
mut_0	0.15	0
mut_1	0.22	0
mut_2	0.15	0
mut_3	0.18	0
mut_4	0.14	0
mut_5	0.16	0
mut_6	0.15	0
mut_7	0.12	0
mut_8	0.14	0
mut_9	0.22	0
mut_10	0.17	0
mut_11	0.15	0
mut_12	0.14	0
mut_13	0.13	0
mut_14	0.12	0
mut_15	0.12	0
mut_16	0.18	0
mut_17	0.09	0
mut_18	0.11	0
mut_19	0.15	0
mut_20	0.15	0
mut_21	0.15	0
mut_22	0.18	0
mut_23	0.16	0
mut_24	0.22	0
mut_25	0.12	0
mut_26	0.13	0
mut_27	0.16	0
mut_28	0.11	0
mut_29	0.15	0
mut_30	0.18	0
mut_31	0.13	0
mut_32	0.16	0
mut_33	0.13	0
mut_34	0.2	0
mut_35	0.21	0
mut_36	0.17	0
mut_37	0.14	0
mut_38	0.1	0
mut_39	0.15	0
mut_40	0.16	0
mut_41	0.25	0
mut_42	0.15	0
mut_43	0.16	0
mut_44	0.12	0
mut_45	0.17	0
mut_46	0.18	0
mut_47	0.16	0
mut_48	0.13	0
mut_49	0.16	0
mut_50	0.15	0
mut_51	0.13	0
mut_52	0.16	0
mut_53	0.15	0
mut_54	0.2	0
mut_55	0.2	0
mut_56	0.18	0
mut_57	0.16	0
mut_58	0.18	0
mut_59	0.12	0
mut_60	0.15	0
mut_61	0.21	0
mut_62	0.16	0
mut_63	0.12	0
mut_64	0.14	0
mut_65	0.15	0
mut_66	0.13	0
mut_67	0.2	0
mut_68	0.18	0
mut_69	0.16	0
mut_70	0.13	0
mut_71	0.12	0
mut_72	0.16	0
mut_73	0.12	0
mut_74	0.17	0
mut_75	0.09	0
mut_76	0.1	0
mut_77	0.12	0
mut_78	0.15	0
mut_79	0.16	0
mut_80	0.18	0
mut_81	0.15	0
mut_82	0.13	0
mut_83	0.12	0
mut_84	0.1	0
mut_85	0.22	0
mut_86	0.18	0
mut_87	0.15	0
mut_88	0.16	0
mut_89	0.12	0
mut_90	0.2	0
mut_91	0.17	0
mut_92	0.15	0
mut_93	0.18	0
mut_94	0.17	0
mut_95	0.15	0
mut_96	0.12	0
mut_97	0.14	0
mut_98	0.16	0
mut_99	0.14	0
mut_100	0.21	0
mut_101	0.14	0
mut_102	0.12	0
mut_103	0.14	0
mut_104	0.12	0
mut_105	0.17	0
mut_106	0.16	0
mut_107	0.13	0
mut_108	0.15	0
mut_109	0.13	0
mut_110	0.18	0
mut_111	0.18	0
mut_112	0.16	0
mut_113	0.14	0
mut_114	0.13	0
mut_115	0.16	0
mut_116	0.15	0
mut_117	0.16	0
mut_118	0.2	0
mut_119	0.1	0
mut_120	0.1	0
mut_121	0.17	0
mut_122	0.2	0
mut_123	0.15	0
mut_124	0.13	0
mut_125	0.17	0
mut_126	0.11	0
mut_127	0.26	1
mut_128	0.22	1
mut_129	0.2	1
mut_130	0.23	1
mut_131	0.22	1
mut_132	0.18	1
mut_133	0.25	1
mut_134	0.24	1
mut_135	0.19	1
mut_136	0.13	1
mut_137	0.19	1
mut_138	0.13	1
mut_139	0.16	1
mut_140	0.19	1
mut_141	0.2	1
mut_142	0.17	1
mut_143	0.31	1
mut_144	0.22	1
mut_145	0.21	1
mut_146	0.18	1
mut_147	0.18	1
mut_148	0.25	1
mut_149	0.25	1
mut_150	0.24	1
mut_151	0.2	1
mut_152	0.18	1
mut_153	0.15	1
mut_154	0.12	1
mut_155	0.23	1
mut_156	0.22	1
mut_157	0.22	1
mut_158	0.16	1
mut_159	0.17	1
mut_160	0.22	1
mut_161	0.21	1
mut_162	0.21	1
mut_163	0.2	1
mut_164	0.24	1
mut_165	0.21	1
mut_166	0.25	1
mut_167	0.16	1
mut_168	0.23	1
mut_169	0.18	1
mut_170	0.21	1
mut_171	0.21	1
mut_172	0.16	1
mut_173	0.22	1
mut_174	0.17	1
mut_175	0.21	1
mut_176	0.22	1
mut_177	0.2	1
mut_178	0.23	1
mut_179	0.24	1
mut_180	0.21	1
mut_181	0.17	1
mut_182	0.2	1
mut_183	0.22	1
mut_184	0.22	1
mut_185	0.21	1
mut_186	0.13	1
mut_187	0.18	1
mut_188	0.19	1
mut_189	0.19	1
mut_190	0.28	1
mut_191	0.18	1
mut_192	0.24	1
mut_193	0.19	1
mut_194	0.18	1
mut_195	0.22	1
mut_196	0.25	1
mut_197	0.2	1
mut_198	0.22	1
mut_199	0.26	1
mut_200	0.14	1
mut_201	0.26	1
mut_202	0.12	1
mut_203	0.23	1
mut_204	0.16	1
