Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	Classification
1	Spectrogram 1	1	503.551750000	504.575750000	34.0	120.0	1.0000	
2	Spectrogram 1	1	734.463750000	735.743750000	34.0	120.0	1.0000	
3	Spectrogram 1	1	833.023750000	834.559750000	34.0	120.0	1.0000	
4	Spectrogram 1	1	863.999750000	865.023750000	34.0	120.0	1.0000	
5	Spectrogram 1	1	983.551750000	984.575750000	34.0	120.0	1.0000	
6	Spectrogram 1	1	1440.767750000	1441.791750000	34.0	120.0	1.0000	
7	Spectrogram 1	1	1483.519750000	1484.543750000	34.0	120.0	1.0000	
8	Spectrogram 1	1	1715.711750000	1716.735750000	34.0	120.0	1.0000	
9	Spectrogram 1	1	1756.159750000	1757.439750000	34.0	120.0	1.0000	
10	Spectrogram 1	1	1794.815750000	1795.839750000	34.0	120.0	1.0000	
11	Spectrogram 1	1	2192.639750000	2193.663750000	34.0	120.0	1.0000	
12	Spectrogram 1	1	2248.959750000	2249.983750000	34.0	120.0	1.0000	
13	Spectrogram 1	1	2323.199750000	2324.223750000	34.0	120.0	1.0000	
14	Spectrogram 1	1	2487.807750000	2488.831750000	34.0	120.0	1.0000	
15	Spectrogram 1	1	2584.063750000	2585.087750000	34.0	120.0	1.0000	
16	Spectrogram 1	1	3170.559750000	3171.583750000	34.0	120.0	1.0000	
17	Spectrogram 1	1	3179.519750000	3180.799750000	34.0	120.0	1.0000	
18	Spectrogram 1	1	3255.551750000	3256.575750000	34.0	120.0	1.0000	
19	Spectrogram 1	1	3292.415750000	3293.951750000	34.0	120.0	1.0000	
20	Spectrogram 1	1	3319.039750000	3320.063750000	34.0	120.0	1.0000	
21	Spectrogram 1	1	3322.111750000	3323.135750000	34.0	120.0	1.0000	
22	Spectrogram 1	1	3621.887750000	3622.911750000	34.0	120.0	1.0000	
23	Spectrogram 1	1	3742.719750000	3743.999750000	34.0	120.0	1.0000	
24	Spectrogram 1	1	3975.679750000	3976.703750000	34.0	120.0	1.0000	
25	Spectrogram 1	1	3978.239750000	3979.263750000	34.0	120.0	1.0000	
26	Spectrogram 1	1	4011.263750000	4012.287750000	34.0	120.0	1.0000	
27	Spectrogram 1	1	4028.671750000	4029.695750000	34.0	120.0	1.0000	
28	Spectrogram 1	1	4205.567750000	4206.591750000	34.0	120.0	1.0000	
29	Spectrogram 1	1	4216.063750000	4217.087750000	34.0	120.0	1.0000	
30	Spectrogram 1	1	4259.583750000	4261.119750000	34.0	120.0	1.0000	
31	Spectrogram 1	1	4326.399750000	4327.423750000	34.0	120.0	1.0000	
32	Spectrogram 1	1	4330.495750000	4331.775750000	34.0	120.0	1.0000	
33	Spectrogram 1	1	4380.671750000	4381.951750000	34.0	120.0	1.0000	
34	Spectrogram 1	1	4404.223750000	4405.247750000	34.0	120.0	1.0000	
35	Spectrogram 1	1	4433.663750000	4434.687750000	34.0	120.0	1.0000	
36	Spectrogram 1	1	4621.055750000	4622.079750000	34.0	120.0	1.0000	
37	Spectrogram 1	1	4638.719750000	4639.743750000	34.0	120.0	1.0000	
38	Spectrogram 1	1	4731.647750000	4732.927750000	34.0	120.0	1.0000	
39	Spectrogram 1	1	4780.799750000	4781.823750000	34.0	120.0	1.0000	
40	Spectrogram 1	1	4844.543750000	4845.567750000	34.0	120.0	1.0000	
41	Spectrogram 1	1	5028.863750000	5029.887750000	34.0	120.0	1.0000	
42	Spectrogram 1	1	5156.863750000	5157.887750000	34.0	120.0	1.0000	
43	Spectrogram 1	1	5291.007750000	5293.311750000	34.0	120.0	1.0000	
44	Spectrogram 1	1	5342.463750000	5343.487750000	34.0	120.0	1.0000	
45	Spectrogram 1	1	5359.615750000	5362.175750000	34.0	120.0	1.0000	
46	Spectrogram 1	1	5404.415750000	5405.695750000	34.0	120.0	1.0000	
47	Spectrogram 1	1	5419.775750000	5421.567750000	34.0	120.0	1.0000	
48	Spectrogram 1	1	5426.943750000	5427.967750000	34.0	120.0	1.0000	
49	Spectrogram 1	1	5531.903750000	5532.927750000	34.0	120.0	1.0000	
50	Spectrogram 1	1	5543.167750000	5544.191750000	34.0	120.0	1.0000	
51	Spectrogram 1	1	5573.887750000	5575.167750000	34.0	120.0	1.0000	
52	Spectrogram 1	1	5620.223750000	5621.503750000	34.0	120.0	1.0000	
53	Spectrogram 1	1	5648.895750000	5650.175750000	34.0	120.0	1.0000	
54	Spectrogram 1	1	5662.975750000	5664.255750000	34.0	120.0	1.0000	
55	Spectrogram 1	1	5699.839750000	5702.911750000	34.0	120.0	1.0000	
56	Spectrogram 1	1	5717.247750000	5719.039750000	34.0	120.0	1.0000	
57	Spectrogram 1	1	5719.295750000	5720.319750000	34.0	120.0	1.0000	
58	Spectrogram 1	1	5745.407750000	5746.431750000	34.0	120.0	1.0000	
59	Spectrogram 1	1	5757.439750000	5759.999750000	34.0	120.0	1.0000	
60	Spectrogram 1	1	5785.599750000	5786.623750000	34.0	120.0	1.0000	
61	Spectrogram 1	1	5795.071750000	5797.119750000	34.0	120.0	1.0000	
62	Spectrogram 1	1	5827.839750000	5828.863750000	34.0	120.0	1.0000	
63	Spectrogram 1	1	5842.175750000	5844.223750000	34.0	120.0	1.0000	
64	Spectrogram 1	1	5861.119750000	5862.143750000	34.0	120.0	1.0000	
65	Spectrogram 1	1	5972.991750000	5974.015750000	34.0	120.0	1.0000	
66	Spectrogram 1	1	6044.671750000	6047.999750000	34.0	120.0	1.0000	
67	Spectrogram 1	1	6055.423750000	6058.751750000	34.0	120.0	1.0000	bdt
68	Spectrogram 1	1	6088.447750000	6090.239750000	34.0	120.0	1.0000	bdf
69	Spectrogram 1	1	6197.759750000	6199.039750000	34.0	120.0	1.0000	
70	Spectrogram 1	1	6259.711750000	6260.735750000	34.0	120.0	1.0000	
71	Spectrogram 1	1	6480.639750000	6481.663750000	34.0	120.0	1.0000	
72	Spectrogram 1	1	6553.087750000	6554.111750000	34.0	120.0	1.0000	
73	Spectrogram 1	1	6596.607750000	6597.631750000	34.0	120.0	1.0000	
74	Spectrogram 1	1	6775.551750000	6776.831750000	34.0	120.0	1.0000	
75	Spectrogram 1	1	6817.279750000	6818.303750000	34.0	120.0	1.0000	
76	Spectrogram 1	1	6845.951750000	6848.255750000	34.0	120.0	1.0000	
77	Spectrogram 1	1	6930.687750000	6933.503750000	34.0	120.0	1.0000	
78	Spectrogram 1	1	6948.607750000	6952.703750000	34.0	120.0	1.0000	bdt
79	Spectrogram 1	1	6952.959750000	6955.007750000	34.0	120.0	1.0000	
80	Spectrogram 1	1	6977.791750000	6980.863750000	34.0	120.0	1.0000	
81	Spectrogram 1	1	7028.991750000	7033.087750000	34.0	120.0	1.0000	bdt
82	Spectrogram 1	1	7089.151750000	7093.247750000	34.0	120.0	1.0000	bdt
83	Spectrogram 1	1	7173.887750000	7176.447750000	34.0	120.0	1.0000	
84	Spectrogram 1	1	7202.303750000	7206.143750000	34.0	120.0	1.0000	bdt
85	Spectrogram 1	1	7215.103750000	7218.687750000	34.0	120.0	1.0000	bdt
86	Spectrogram 1	1	7234.815750000	7235.839750000	34.0	120.0	1.0000	bdf
87	Spectrogram 1	1	7248.383750000	7249.919750000	34.0	120.0	1.0000	
88	Spectrogram 1	1	7262.719750000	7263.999750000	34.0	120.0	1.0000	
89	Spectrogram 1	1	7277.823750000	7279.103750000	34.0	120.0	1.0000	
90	Spectrogram 1	1	7281.919750000	7282.943750000	34.0	120.0	1.0000	
91	Spectrogram 1	1	7318.783750000	7320.575750000	34.0	120.0	1.0000	bdf
92	Spectrogram 1	1	7402.239750000	7403.263750000	34.0	120.0	1.0000	
93	Spectrogram 1	1	7451.647750000	7453.695750000	34.0	120.0	1.0000	
94	Spectrogram 1	1	7469.055750000	7470.335750000	34.0	120.0	1.0000	bdf
95	Spectrogram 1	1	7491.327750000	7493.119750000	34.0	120.0	1.0000	
96	Spectrogram 1	1	7620.863750000	7624.191750000	34.0	120.0	1.0000	bdt
97	Spectrogram 1	1	7665.919750000	7668.735750000	34.0	120.0	1.0000	bdt
98	Spectrogram 1	1	7698.175750000	7700.991750000	34.0	120.0	1.0000	bdt
99	Spectrogram 1	1	7724.543750000	7726.591750000	34.0	120.0	1.0000	
100	Spectrogram 1	1	7748.863750000	7750.911750000	34.0	120.0	1.0000	
101	Spectrogram 1	1	7798.015750000	7802.879750000	34.0	120.0	1.0000	bdd
102	Spectrogram 1	1	7812.607750000	7815.679750000	34.0	120.0	1.0000	
103	Spectrogram 1	1	7851.775750000	7854.847750000	34.0	120.0	1.0000	bdt
104	Spectrogram 1	1	7903.231750000	7904.255750000	34.0	120.0	1.0000	
105	Spectrogram 1	1	7904.767750000	7906.303750000	34.0	120.0	1.0000	
106	Spectrogram 1	1	7906.559750000	7909.119750000	34.0	120.0	1.0000	
107	Spectrogram 1	1	7912.191750000	7914.239750000	34.0	120.0	1.0000	
108	Spectrogram 1	1	7956.735750000	7959.807750000	34.0	120.0	1.0000	bdt
109	Spectrogram 1	1	7960.063750000	7961.343750000	34.0	120.0	1.0000	
110	Spectrogram 1	1	8023.807750000	8024.831750000	34.0	120.0	1.0000	
111	Spectrogram 1	1	8025.087750000	8027.647750000	34.0	120.0	1.0000	bdt
112	Spectrogram 1	1	8126.207750000	8127.743750000	34.0	120.0	1.0000	
113	Spectrogram 1	1	8249.855750000	8251.903750000	34.0	120.0	1.0000	bdt
114	Spectrogram 1	1	8293.375750000	8296.703750000	34.0	120.0	1.0000	bdt
115	Spectrogram 1	1	8328.447750000	8329.727750000	34.0	120.0	1.0000	
116	Spectrogram 1	1	8414.207750000	8415.743750000	34.0	120.0	1.0000	
117	Spectrogram 1	1	8472.575750000	8475.647750000	34.0	120.0	1.0000	bdt
118	Spectrogram 1	1	8475.903750000	8479.487750000	34.0	120.0	1.0000	
119	Spectrogram 1	1	8538.623750000	8541.695750000	34.0	120.0	1.0000	bdt
120	Spectrogram 1	1	8568.319750000	8569.855750000	34.0	120.0	1.0000	
121	Spectrogram 1	1	8578.559750000	8580.863750000	34.0	120.0	1.0000	
122	Spectrogram 1	1	8616.191750000	8618.751750000	34.0	120.0	1.0000	bdf
123	Spectrogram 1	1	8661.503750000	8665.087750000	34.0	120.0	1.0000	bdt
124	Spectrogram 1	1	8702.975750000	8705.791750000	34.0	120.0	1.0000	bdt
125	Spectrogram 1	1	8856.575750000	8859.135750000	34.0	120.0	1.0000	
126	Spectrogram 1	1	8955.903750000	8957.695750000	34.0	120.0	1.0000	bdf
127	Spectrogram 1	1	9011.455750000	9014.271750000	34.0	120.0	1.0000	
128	Spectrogram 1	1	9085.439750000	9086.719750000	34.0	120.0	1.0000	bdf
129	Spectrogram 1	1	9144.831750000	9147.391750000	34.0	120.0	1.0000	
130	Spectrogram 1	1	9194.239750000	9196.031750000	34.0	120.0	1.0000	bdf
131	Spectrogram 1	1	9252.351750000	9258.495750000	34.0	120.0	1.0000	bdt
132	Spectrogram 1	1	9501.183750000	9503.743750000	34.0	120.0	1.0000	bdt
133	Spectrogram 1	1	9503.999750000	9505.023750000	34.0	120.0	1.0000	
134	Spectrogram 1	1	9602.559750000	9604.863750000	34.0	120.0	1.0000	bdt
135	Spectrogram 1	1	9696.511750000	9698.303750000	34.0	120.0	1.0000	bdt
136	Spectrogram 1	1	9724.159750000	9726.463750000	34.0	120.0	1.0000	bdt
137	Spectrogram 1	1	9733.631750000	9735.679750000	34.0	120.0	1.0000	
138	Spectrogram 1	1	9883.903750000	9885.951750000	34.0	120.0	1.0000	
139	Spectrogram 1	1	9923.583750000	9927.935750000	34.0	120.0	1.0000	bdt
140	Spectrogram 1	1	9948.671750000	9950.975750000	34.0	120.0	1.0000	
141	Spectrogram 1	1	9996.543750000	9999.103750000	34.0	120.0	1.0000	
142	Spectrogram 1	1	10024.447750000	10025.983750000	34.0	120.0	1.0000	
143	Spectrogram 1	1	10101.503750000	10104.063750000	34.0	120.0	1.0000	bdf
144	Spectrogram 1	1	10105.343750000	10107.391750000	34.0	120.0	1.0000	
145	Spectrogram 1	1	10365.695750000	10366.719750000	34.0	120.0	1.0000	
146	Spectrogram 1	1	10473.727750000	10475.263750000	34.0	120.0	1.0000	
147	Spectrogram 1	1	10532.607750000	10534.143750000	34.0	120.0	1.0000	bdf
148	Spectrogram 1	1	10783.999750000	10785.535750000	34.0	120.0	1.0000	
149	Spectrogram 1	1	10830.079750000	10831.103750000	34.0	120.0	1.0000	
150	Spectrogram 1	1	10833.407750000	10834.431750000	34.0	120.0	1.0000	
151	Spectrogram 1	1	10950.655750000	10952.703750000	34.0	120.0	1.0000	bdf
152	Spectrogram 1	1	11024.895750000	11027.711750000	34.0	120.0	1.0000	
153	Spectrogram 1	1	11249.407750000	11250.431750000	34.0	120.0	1.0000	
154	Spectrogram 1	1	11251.199750000	11252.223750000	34.0	120.0	1.0000	
155	Spectrogram 1	1	11256.831750000	11258.367750000	34.0	120.0	1.0000	bdf
156	Spectrogram 1	1	11310.335750000	11313.151750000	34.0	120.0	1.0000	
157	Spectrogram 1	1	11541.759750000	11543.039750000	34.0	120.0	1.0000	
158	Spectrogram 1	1	11543.295750000	11544.831750000	34.0	120.0	1.0000	
159	Spectrogram 1	1	11545.087750000	11546.111750000	34.0	120.0	1.0000	
160	Spectrogram 1	1	11579.135750000	11584.767750000	34.0	120.0	1.0000	bdt
161	Spectrogram 1	1	11702.527750000	11703.551750000	34.0	120.0	1.0000	
162	Spectrogram 1	1	11704.575750000	11707.647750000	34.0	120.0	1.0000	bdf
163	Spectrogram 1	1	11834.367750000	11836.927750000	34.0	120.0	1.0000	
164	Spectrogram 1	1	11850.751750000	11853.567750000	34.0	120.0	1.0000	bdf
165	Spectrogram 1	1	11889.663750000	11892.223750000	34.0	120.0	1.0000	
166	Spectrogram 1	1	11894.783750000	11896.063750000	34.0	120.0	1.0000	
167	Spectrogram 1	1	11896.319750000	11897.343750000	34.0	120.0	1.0000	
168	Spectrogram 1	1	12008.703750000	12013.055750000	34.0	120.0	1.0000	bdf
169	Spectrogram 1	1	12057.855750000	12060.415750000	34.0	120.0	1.0000	bdt
170	Spectrogram 1	1	12259.327750000	12261.119750000	34.0	120.0	1.0000	
171	Spectrogram 1	1	12549.119750000	12550.655750000	34.0	120.0	1.0000	
172	Spectrogram 1	1	12572.159750000	12576.767750000	34.0	120.0	1.0000	bdt
173	Spectrogram 1	1	12655.871750000	12658.943750000	34.0	120.0	1.0000	bdt
174	Spectrogram 1	1	12709.887750000	12711.935750000	34.0	120.0	1.0000	
175	Spectrogram 1	1	12954.623750000	12957.183750000	34.0	120.0	1.0000	
176	Spectrogram 1	1	12999.423750000	13002.239750000	34.0	120.0	1.0000	
177	Spectrogram 1	1	13031.167750000	13033.215750000	34.0	120.0	1.0000	
178	Spectrogram 1	1	13138.943750000	13141.759750000	34.0	120.0	1.0000	
179	Spectrogram 1	1	13203.455750000	13205.759750000	34.0	120.0	1.0000	bdt
180	Spectrogram 1	1	13259.007750000	13262.335750000	34.0	120.0	1.0000	bdt
181	Spectrogram 1	1	13281.279750000	13284.351750000	34.0	120.0	1.0000	bdt
182	Spectrogram 1	1	13324.799750000	13326.847750000	34.0	120.0	1.0000	bdt
183	Spectrogram 1	1	13355.775750000	13358.335750000	34.0	120.0	1.0000	bdt
184	Spectrogram 1	1	13370.879750000	13372.671750000	34.0	120.0	1.0000	
185	Spectrogram 1	1	15290.879750000	15293.439750000	34.0	120.0	1.0000	bdt
186	Spectrogram 1	1	15462.655750000	15463.679750000	34.0	120.0	1.0000	
187	Spectrogram 1	1	15840.767750000	15841.791750000	34.0	120.0	1.0000	
188	Spectrogram 1	1	16037.631750000	16038.911750000	34.0	120.0	1.0000	
189	Spectrogram 1	1	17446.911750000	17447.935750000	34.0	120.0	1.0000	
190	Spectrogram 1	1	17451.263750000	17452.287750000	34.0	120.0	1.0000	
191	Spectrogram 1	1	17472.511750000	17473.535750000	34.0	120.0	1.0000	
192	Spectrogram 1	1	17532.415750000	17533.439750000	34.0	120.0	1.0000	
