Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	Classification
1	Spectrogram 1	1	159.528750000	161.696250000	34.0	120.0	0.8941	bdf
2	Spectrogram 1	1	174.038250000	176.919750000	34.0	120.0	0.9292	bdf
3	Spectrogram 1	1	177.174750000	178.883250000	34.0	120.0	1.0000	
4	Spectrogram 1	1	346.137750000	351.467250000	34.0	120.0	0.9569	bdf
5	Spectrogram 1	1	427.584750000	428.604750000	34.0	120.0	1.0000	bdf
6	Spectrogram 1	1	438.932250000	441.099750000	34.0	120.0	1.0000	
7	Spectrogram 1	1	447.653250000	452.345250000	34.0	120.0	1.0000	bdt
8	Spectrogram 1	1	589.356750000	591.116250000	34.0	120.0	0.8986	bdf
9	Spectrogram 1	1	606.824250000	608.048250000	34.0	120.0	1.0000	
10	Spectrogram 1	1	608.430750000	609.705750000	34.0	120.0	0.8800	
11	Spectrogram 1	1	762.119250000	765.077250000	34.0	120.0	0.9397	bdf
12	Spectrogram 1	1	778.949250000	782.493750000	34.0	120.0	0.9784	bdf
13	Spectrogram 1	1	838.950750000	843.642750000	34.0	120.0	0.9783	bdf
14	Spectrogram 1	1	913.334250000	918.714750000	34.0	120.0	1.0000	bdf
15	Spectrogram 1	1	919.760250000	921.111750000	34.0	120.0	1.0000	bdf
16	Spectrogram 1	1	927.104250000	928.659750000	34.0	120.0	1.0000	
17	Spectrogram 1	1	934.065750000	937.457250000	34.0	120.0	0.9549	bdt
18	Spectrogram 1	1	960.662250000	965.099250000	34.0	120.0	1.0000	bdf
19	Spectrogram 1	1	972.417750000	975.681750000	34.0	120.0	1.0000	bdt
20	Spectrogram 1	1	985.499250000	986.748750000	34.0	120.0	0.6327	bdf
21	Spectrogram 1	1	1130.517750000	1131.920250000	34.0	120.0	0.9091	bdf
22	Spectrogram 1	1	1132.710750000	1133.807250000	34.0	120.0	0.8837	
23	Spectrogram 1	1	1134.444750000	1135.898250000	34.0	120.0	0.8772	
24	Spectrogram 1	1	1136.765250000	1138.346250000	34.0	120.0	0.9032	
25	Spectrogram 1	1	1145.052750000	1146.480750000	34.0	120.0	0.8929	bdf
26	Spectrogram 1	1	1150.101750000	1151.376750000	34.0	120.0	0.9000	
27	Spectrogram 1	1	1301.979750000	1303.790250000	34.0	120.0	1.0000	
28	Spectrogram 1	1	1349.205750000	1354.025250000	34.0	120.0	0.8995	bdf
29	Spectrogram 1	1	1354.356750000	1357.977750000	34.0	120.0	1.0000	
30	Spectrogram 1	1	1361.471250000	1367.871750000	34.0	120.0	1.0000	bdf
31	Spectrogram 1	1	1483.259250000	1486.217250000	34.0	120.0	1.0000	
32	Spectrogram 1	1	1486.523250000	1488.461250000	34.0	120.0	1.0000	
33	Spectrogram 1	1	1581.153750000	1587.299250000	34.0	120.0	0.9834	bdf
34	Spectrogram 1	1	1596.963750000	1603.262250000	34.0	120.0	1.0000	bdf
35	Spectrogram 1	1	1636.539750000	1637.891250000	34.0	120.0	1.0000	
36	Spectrogram 1	1	1648.218750000	1650.564750000	34.0	120.0	0.9891	
37	Spectrogram 1	1	1747.872750000	1749.785250000	34.0	120.0	1.0000	bdf
38	Spectrogram 1	1	1833.731250000	1836.842250000	34.0	120.0	1.0000	bdf
39	Spectrogram 1	1	1837.097250000	1839.341250000	34.0	120.0	0.8750	
40	Spectrogram 1	1	1897.073250000	1898.501250000	34.0	120.0	1.0000	
41	Spectrogram 1	1	1905.131250000	1906.278750000	34.0	120.0	0.9778	bdf
42	Spectrogram 1	1	1916.147250000	1917.320250000	34.0	120.0	0.7609	bdf
43	Spectrogram 1	1	1974.695250000	1976.964750000	34.0	120.0	0.8989	bdf
44	Spectrogram 1	1	2135.931750000	2138.711250000	34.0	120.0	1.0000	bdf
45	Spectrogram 1	1	2265.446250000	2266.491750000	34.0	120.0	0.8049	
46	Spectrogram 1	1	2267.715750000	2270.112750000	34.0	120.0	1.0000	bdf
47	Spectrogram 1	1	2305.634250000	2308.490250000	34.0	120.0	1.0000	bdf
48	Spectrogram 1	1	2311.244250000	2313.513750000	34.0	120.0	0.8090	
49	Spectrogram 1	1	2363.417250000	2368.695750000	34.0	120.0	1.0000	
50	Spectrogram 1	1	2369.129250000	2370.582750000	34.0	120.0	1.0000	
51	Spectrogram 1	1	2371.118250000	2373.234750000	34.0	120.0	1.0000	
52	Spectrogram 1	1	2379.227250000	2384.888250000	34.0	120.0	1.0000	bdf
53	Spectrogram 1	1	2386.826250000	2388.432750000	34.0	120.0	0.8730	
54	Spectrogram 1	1	2417.375250000	2423.571750000	34.0	120.0	1.0000	bdf
